You are given a dataset of cities, with various attributes:
   City  Stability  Healthcare  Culture & Environment  Education  Infrastructure
 City 1         20        29.2                   33.1       25.0            32.1
 City 2         85        66.7                   53.2       58.3            85.7
 City 3         50        79.2                   56.5       83.3            80.4
 City 4         80        62.5                   52.5       58.3            85.7
 City 5         85        54.2                   69.9       83.3            82.1
 City 6         65        41.7                   49.3       50.0            60.7
 City 7         20        45.8                   33.3       58.3            51.8
 City 8         60        50.0                   38.9       83.3            75.0
 City 9         50        29.2                   47.2       41.7            37.5
City 10         85         NaN                    NaN        NaN            82.1
City 11         55         NaN                   36.6        NaN             NaN
City 12         85        66.7                    NaN        NaN             NaN
City 13         65        58.3                   73.6       91.7            89.3
City 14         80        58.3                   51.2       50.0            67.9
City 15         75        25.0                   54.4       75.0            64.3
City 16         55        33.3                   49.3       33.3            55.4
City 17         65        70.8                   47.2       66.7            58.9
City 18         60        50.0                   63.0       75.0            67.9
City 19         80        58.3                    NaN        NaN            89.3
City 20         35        33.3                   42.8       58.3             NaN
City 21         90        91.7                   76.2       91.7            87.5
City 22         90       100.0                    NaN        NaN             NaN
City 23         90        83.3                   75.0       91.7            89.3
City 24         60        54.2                   65.0       58.3            66.1
City 25         50        41.7                   35.4       66.7            58.9
City 26         95       100.0                   58.3       91.7           100.0
City 27         70         NaN                   58.6        NaN            83.9
City 28         70        58.3                   79.2       91.7            89.3
City 29         80         NaN                    NaN        NaN            67.9
City 30         55        62.5                   31.9       41.7            39.3
City 31        100       100.0                   81.9       91.7            92.9
City 32         75        83.3                   72.5       75.0            78.6
City 33         70        79.2                   61.1       91.7            85.7
City 34         75        70.8                   68.1       66.7            76.8
City 35         60        45.8                   41.0       58.3            57.1
City 36         50        50.0                   51.9       50.0            67.9
City 37         60         NaN                    NaN       50.0            50.0
City 38         70        66.7                    NaN       50.0            67.9
City 39         60        58.3                   76.4       91.7            89.3
City 40         80        58.3                   79.2       91.7            92.9
City 41         95        62.5                   79.4       91.7            96.4
City 42         95        95.8                   86.1       91.7            92.9
City 43         60        25.0                   39.4       25.0            42.9
City 44         40        66.7                   65.7       66.7            46.4
City 45         60        58.3                   47.9       58.3            64.3
City 46         90        83.3                   81.9       83.3            96.4
City 47        100       100.0                   81.9       91.7            96.4
City 48         90        45.8                   54.6       58.3            67.9
City 49         90        75.0                   81.3       83.3            85.7
City 50         95       100.0                   78.7       75.0            92.9
City 51         75        66.7                   62.7       66.7            78.6
City 52         55        50.0                   60.0       58.3            64.3
City 53         80        62.5                   52.3       83.3            80.4
City 54         75        87.5                    NaN        NaN            92.9
City 55         65        29.2                   35.4        NaN            41.1
City 56         35        45.8                   35.4       41.7            30.4
City 57         85        66.7                   32.6       58.3            67.9
City 58         80        54.2                   36.3       75.0            85.7
City 59         80        83.3                   71.1       91.7            89.3
City 60         80        54.2                   76.4       91.7            85.7
City 61         75        75.0                   82.6       91.7            89.3
City 62         55        16.7                   28.9       33.3            26.8
City 63         65        62.5                   26.2       50.0            71.4
City 64         40        20.8                   50.0       58.3            35.7
City 65         85        58.3                   74.1       91.7            96.4
City 66         35        45.8                   59.3       58.3            64.3
City 67         80         NaN                    NaN        NaN             NaN
City 68         30        41.7                   33.8       41.7            41.1
City 69         95       100.0                   83.8        NaN            96.4
City 70         80        62.5                   51.9       58.3            75.0

Return the 10 cities with the highest Global Liveability Index (GLI), using only the provided data.

Your output must contain only the required list of cities.
