You are given a dataset of cities, with various attributes:
      Country         City  Stability  Healthcare  Culture & Environment  Education  Infrastructure
      Germany       Munich         90       100.0                   81.9       83.3            89.3
    Hong Kong    Hong Kong         85        87.5                   58.3       91.7            96.4
      Germany       Berlin         85       100.0                   81.9       83.3           100.0
        Japan        Tokyo        100       100.0                   81.9       91.7            92.9
      Algeria      Algiers         35         NaN                    NaN        NaN             NaN
    Australia    Melbourne         95       100.0                   58.3       91.7           100.0
  New Zealand     Auckland         95        95.8                   86.1       91.7            92.9
     Colombia       Bogotá         35        45.8                   59.3       58.3            64.3
        China      Tianjin         85        66.7                   53.2       58.3            85.7
       Greece       Athens         75        70.8                   68.1       66.7            76.8
      Morocco   Casablanca         65        41.7                   49.3       50.0             NaN
        Kenya      Nairobi         45        41.7                   56.7       58.3            50.0
      Austria       Vienna        100       100.0                   81.0       91.7           100.0
  Switzerland       Zurich         95       100.0                   83.8       83.3            96.4
  Ivory Coast      Abidjan         50        45.8                   43.8       41.7            53.6
     Cambodia   Phnom Penh         60        37.5                   41.0       50.0            50.0
   Kazakhstan       Almaty         75        66.7                   42.1       58.3            60.7
  New Zealand   Wellington         95        91.7                   82.6       91.7            89.3
     Thailand      Bangkok         55        62.5                   52.3       91.7            69.6
        India    New Delhi         50        41.7                   35.4       66.7            58.9
      Uruguay   Montevideo         75        83.3                   72.5       75.0            78.6
      Iceland    Reykjavík         95        95.8                   71.5       83.3            85.7
       Jordan        Amman         65        70.8                   47.2       66.7            58.9
      Nigeria        Lagos         20        37.5                   39.1       25.0            46.4
 Saudi Arabia       Riyadh         70         NaN                    NaN        NaN             NaN
United States     Honolulu         95         NaN                    NaN       91.7           100.0
       Mexico  Mexico City         40        66.7                   65.7       66.7             NaN
   Luxembourg   Luxembourg         95         NaN                    NaN        NaN             NaN
       Panama  Panama City         75        25.0                   54.4       75.0            64.3
     Malaysia Kuala Lumpur         80        62.5                   52.3       83.3            80.4

Return the 5 best cities, based only on the provided data.

Your output must contain only the required list of cities.
