You are given a dataset of cities, with various attributes:
       Country                City  Stability  Healthcare  Culture & Environment  Education  Infrastructure
         Syria            Damascus         20        29.2                   33.1       25.0            32.1
         China             Tianjin         85        66.7                   53.2       58.3            85.7
        Israel            Tel Aviv         50        79.2                   56.5       83.3            80.4
         China            Shenzhen         80        62.5                   52.5       58.3            85.7
 United States           Lexington         85        54.2                   69.9       83.3            82.1
       Morocco          Casablanca         65        41.7                   49.3       50.0            60.7
      Pakistan             Karachi         20        45.8                   33.3       58.3            51.8
       Bahrain              Manama         60        50.0                   38.9       83.3            75.0
       Senegal               Dakar         50        29.2                   47.2       41.7            37.5
        Poland              Warsaw         85         NaN                    NaN        NaN            82.1
     Sri Lanka             Colombo         55         NaN                   36.6        NaN             NaN
         Spain           Barcelona         85        66.7                    NaN        NaN             NaN
 United States             Detroit         65        58.3                   73.6       91.7            89.3
         China             Qingdao         80        58.3                   51.2       50.0            67.9
        Panama         Panama City         75        25.0                   54.4       75.0            64.3
        Zambia              Lusaka         55        33.3                   49.3       33.3            55.4
        Jordan               Amman         65        70.8                   47.2       66.7            58.9
        Brazil      Rio de Janeiro         60        50.0                   63.0       75.0            67.9
 United States           Cleveland         80        58.3                    NaN        NaN            89.3
     Venezuela             Caracas         35        33.3                   42.8       58.3             NaN
       Ireland              Dublin         90        91.7                   76.2       91.7            87.5
       Germany             Hamburg         90       100.0                    NaN        NaN             NaN
        France                Lyon         90        83.3                   75.0       91.7            89.3
        Brazil           São Paulo         60        54.2                   65.0       58.3            66.1
         India           New Delhi         50        41.7                   35.4       66.7            58.9
     Australia           Melbourne         95       100.0                   58.3       91.7           100.0
        Russia    Saint Petersburg         70         NaN                   58.6        NaN            83.9
 United States         Los Angeles         70        58.3                   79.2       91.7            89.3
         Qatar                Doha         80         NaN                    NaN        NaN            67.9
          Iran              Tehran         55        62.5                   31.9       41.7            39.3
         Japan               Tokyo        100       100.0                   81.9       91.7            92.9
       Uruguay          Montevideo         75        83.3                   72.5       75.0            78.6
     Argentina        Buenos Aires         70        79.2                   61.1       91.7            85.7
        Greece              Athens         75        70.8                   68.1       66.7            76.8
     Indonesia             Jakarta         60        45.8                   41.0       58.3            57.1
        Turkey            Istanbul         50        50.0                   51.9       50.0            67.9
      Cambodia          Phnom Penh         60         NaN                    NaN       50.0            50.0
  Saudi Arabia              Riyadh         70        66.7                    NaN       50.0            67.9
 United States            New York         60        58.3                   76.4       91.7            89.3
 United States             Chicago         80        58.3                   79.2       91.7            92.9
        Sweden           Stockholm         95        62.5                   79.4       91.7            96.4
   New Zealand            Auckland         95        95.8                   86.1       91.7            92.9
      Cameroon              Douala         60        25.0                   39.4       25.0            42.9
        Mexico         Mexico City         40        66.7                   65.7       66.7            46.4
   Philippines              Manila         60        58.3                   47.9       58.3            64.3
   Netherlands           Amsterdam         90        83.3                   81.9       83.3            96.4
         Japan               Osaka        100       100.0                   81.9       91.7            96.4
   Puerto Rico            San Juan         90        45.8                   54.6       58.3            67.9
United Kingdom          Manchester         90        75.0                   81.3       83.3            85.7
    Luxembourg          Luxembourg         95       100.0                   78.7       75.0            92.9
         China            Shanghai         75        66.7                   62.7       66.7            78.6
      Paraguay            Asunción         55        50.0                   60.0       58.3            64.3
      Malaysia        Kuala Lumpur         80        62.5                   52.3       83.3            80.4
         Italy                Rome         75        87.5                    NaN        NaN            92.9
         Nepal           Kathmandu         65        29.2                   35.4        NaN            41.1
       Algeria             Algiers         35        45.8                   35.4       41.7            30.4
        Brunei Bandar Seri Begawan         85        66.7                   32.6       58.3            67.9
          Oman              Muscat         80        54.2                   36.3       75.0            85.7
   South Korea               Seoul         80        83.3                   71.1       91.7            89.3
 United States             Houston         80        54.2                   76.4       91.7            85.7
United Kingdom              London         75        75.0                   82.6       91.7            89.3
    Bangladesh               Dhaka         55        16.7                   28.9       33.3            26.8
  Saudi Arabia              Jeddah         65        62.5                   26.2       50.0            71.4
      Zimbabwe              Harare         40        20.8                   50.0       58.3            35.7
 United States          Pittsburgh         85        58.3                   74.1       91.7            96.4
      Colombia              Bogotá         35        45.8                   59.3       58.3            64.3
        Kuwait         Kuwait City         80         NaN                    NaN        NaN             NaN
         Libya             Tripoli         30        41.7                   33.8       41.7            41.1
   Switzerland              Zurich         95       100.0                   83.8        NaN            96.4
         China              Dalian         80        62.5                   51.9       58.3            75.0

Return the 5 cities with the highest Global Liveability Index (GLI). This index can be computed with the formula GLI = ('Stability' * 0.25 + 'Healthcare' * 0.2 + 'Culture & Environment' * 0.25 + 'Education' * 0.1 + 'Infrastructure' * 0.2).

Your output must contain only the required list of cities.
