You are given a dataset of cities, with various attributes:
         Country                City  Stability  Healthcare  Culture & Environment  Education  Infrastructure
           Syria            Damascus         20        29.2                   33.1       25.0            32.1
          Russia    Saint Petersburg         70        87.5                   58.6       66.7            83.9
        Malaysia        Kuala Lumpur         80        62.5                   52.3       83.3            80.4
           China             Tianjin         85        66.7                   53.2       58.3            85.7
   United States             Houston         80        54.2                   76.4       91.7            85.7
            Peru                Lima         60        37.5                   53.7       83.3            75.0
         Senegal               Dakar         50        29.2                   47.2       41.7            37.5
           China             Qingdao         80        58.3                   51.2       50.0            67.9
       Sri Lanka             Colombo         55        41.7                   36.6       58.3            51.8
         Uruguay          Montevideo         75         NaN                    NaN       75.0             NaN
         Ukraine                Kyiv         50         NaN                    NaN       66.7            46.4
  United Kingdom          Manchester         90         NaN                   81.3       83.3             NaN
          Poland              Warsaw         85        75.0                   65.7       66.7            82.1
           China           Guangzhou         75        62.5                   51.4       58.3            80.4
        Thailand             Bangkok         55        62.5                   52.3       91.7            69.6
    Saudi Arabia              Khobar         65        62.5                   28.9       50.0            55.4
    South Africa            Pretoria         50        54.2                   75.0       75.0            67.9
    South Africa        Johannesburg         55        54.2                   77.8       75.0            66.1
   United States       San Francisco         85        58.3                   79.2       91.7             NaN
       Guatemala      Guatemala City         55        37.5                   42.6       50.0             NaN
         Hungary            Budapest         90        91.7                   76.4       91.7            91.1
          Canada             Toronto        100         NaN                    NaN       91.7             NaN
          France               Paris         80        83.3                   81.9       91.7            96.4
      Costa Rica            San José         75        54.2                   61.8       66.7            58.9
    Saudi Arabia              Riyadh         70        66.7                   28.9       50.0            67.9
          Canada            Montreal         95       100.0                   68.8       91.7            92.9
       Argentina        Buenos Aires         70         NaN                   61.1       91.7             NaN
   United States           Cleveland         80        58.3                   75.5       91.7            89.3
          Israel            Tel Aviv         50         NaN                    NaN       83.3             NaN
           India           New Delhi         50        41.7                   35.4       66.7            58.9
           Japan               Tokyo        100       100.0                   81.9       91.7            92.9
   United States               Miami         85        58.3                   72.2       91.7            92.9
   United States            Honolulu         95        58.3                   47.2       91.7           100.0
   United States             Detroit         65        58.3                   73.6       91.7            89.3
          Panama         Panama City         75        25.0                   54.4       75.0            64.3
         Bahrain              Manama         60        50.0                   38.9       83.3            75.0
         Morocco          Casablanca         65        41.7                   49.3       50.0             NaN
          Brazil           São Paulo         60        54.2                    NaN       58.3            66.1
   United States           Lexington         85        54.2                   69.9       83.3            82.1
   New Caledonia              Nouméa        100        87.5                   67.4       66.7            69.6
           Italy               Milan         85        87.5                   79.2       91.7            89.3
     Switzerland              Zurich         95       100.0                   83.8       83.3            96.4
          Zambia              Lusaka         55        33.3                   49.3       33.3            55.4
          Jordan               Amman         65        70.8                   47.2       66.7            58.9
          Brazil      Rio de Janeiro         60        50.0                   63.0       75.0            67.9
       Australia           Melbourne         95       100.0                   58.3       91.7           100.0
           Japan               Osaka        100       100.0                   81.9       91.7            96.4
          Serbia            Belgrade         75        62.5                   60.2       66.7            67.9
         Belgium            Brussels         85        83.3                   76.9       91.7            92.9
         Germany             Hamburg         90       100.0                   78.2       83.3           100.0
   United States            New York         60        58.3                   76.4       91.7            89.3
          Brunei Bandar Seri Begawan         85        66.7                   32.6       58.3            67.9
          Greece              Athens         75        70.8                   68.1       66.7            76.8
          France                Lyon         90         NaN                   75.0       91.7             NaN
           India              Mumbai         60        41.7                    NaN       58.3            51.8
        Cameroon              Douala         60        25.0                   39.4       25.0            42.9
     Puerto Rico            San Juan         90        45.8                   54.6       58.3            67.9
           China              Dalian         80        62.5                   51.9       58.3            75.0
           Spain           Barcelona         85        66.7                   79.2       91.7            96.4
   United States         Minneapolis         85        58.3                   68.5       91.7            92.9
  United Kingdom              London         75        75.0                   82.6       91.7            89.3
      Bangladesh               Dhaka         55        16.7                   28.9       33.3            26.8
      Kazakhstan              Almaty         75        66.7                   42.1       58.3            60.7
       Venezuela             Caracas         35        33.3                   42.8       58.3            53.6
           Spain              Madrid         85        62.5                   79.2       91.7            92.9
     Philippines              Manila         60        58.3                   47.9       58.3            64.3
           China            Shenzhen         80         NaN                    NaN       58.3             NaN
Papua New Guinea        Port Moresby         30        37.5                   38.0       41.7            46.4
          Canada             Calgary        100         NaN                   76.2       91.7           100.0
        Bulgaria               Sofia         80        75.0                   64.4       66.7            58.9

Using the following formula:

city_score = ('Stability' + 'Healthcare' + 'Culture & Environment' + 'Infrastructure')/4

return the 10 cities with the highest computed city_score(s).

Your output must contain only the required list of cities.
